Plate_Name,Sample_Name,WellName,Column,Row,JCT1,CT1,JCT2,CT2,JCT3,CT3,JCategory,Category,Amp1,Amp2,Amp3,Base1,Base2,Base3,n1,n2,n3
PER123RHV,CDXLGGRVY,A1,1,A,34.395145495949194,32.8370768299399,32.2979347177227,34.25257529732231,23.00438513373887,25.288529128837162,pos,pos,0.47879018511122584,1.291886329226308,2.2109358389878544,-0.0008007748034738668,-0.0018376949975066929,-0.006903953074658533,0.3000653330486738,0.4717296204303477,0.48760470520748567
PER123RHV,CBLJJMPRS,B1,1,B,,,,,20.340427512677913,23.42524300092478,neg,neg,-0.09873775681946513,-0.07531305178561905,1.905367492585953,-0.0019747551363893025,-0.001506261035712381,-0.015358518856660668,0.34593854657660716,0.43732081444691534,0.4332818961218617
PER123RHV,CCVNZDRFS,C1,1,C,,,,,21.085427250065013,24.083326038873793,neg,neg,-0.07954506191168359,-0.045625691947392126,1.854382915477392,-0.001590901238233672,-0.0009125138389478425,-0.0144498698747289,0.2596057343968199,0.3104183022995087,0.44202555897470364
PER123RHV,CCJVTHGVN,D1,1,D,,,,,21.895024820131944,25.197777783377234,neg,neg,0.0,-0.0666654322735795,1.6390129981860497,0.0014597994551386467,-0.00133330864547159,-0.015315805841904354,2.0,0.2569475231162098,0.39909448167836037
PER123RHV,CBDHSDNCK,E1,1,E,,,,,21.222416812293865,24.564260840510336,neg,neg,0.0,-0.053721756568961804,1.6816413314307064,0.00117824496730865,-0.0010744351313792362,-0.016460500880668593,0.1,0.272789258700067,0.4062971466080611
PER123RHV,CCDTZYFVR,F1,1,F,,,,,18.730663909311794,21.32139630458012,neg,neg,-0.09766707040685102,-0.0484637839541693,2.2006142560032433,-0.0019533414081370206,-0.0009692756790833861,-0.012141615289912179,0.5644402101854372,0.5627279482677643,0.4634858653710619
PER123RHV,CDWWCSTLF,G1,1,G,,,,,18.99870104131435,21.708241126019317,neg,neg,-0.06619677290192831,-0.07707901428453631,2.115255486688189,-0.0013239354580385663,-0.0015415802856907264,-0.013333371489913266,0.3311388633673555,0.3888559350780927,0.45780548160474166
PER123RHV,CBJYFDWWW,H1,1,H,,,,,19.277022018599354,21.790460565554994,neg,neg,-0.11395470275803643,-0.0933674625123538,2.1915806690580144,-0.0022790940551607286,-0.001867349250247076,-0.011477420532804644,0.5426057149932753,0.11725376094962967,0.4632741981760734
PER123RHV,CBLTZPFPM,I1,1,I,,,,,21.098481881003437,24.21165528085882,neg,neg,-0.07176095366055223,-0.047589351432519425,1.802878061184971,-0.0014352190732110446,-0.0009517870286503884,-0.015237773313096245,0.2430519899936586,0.9846846686670778,0.4236182268486143
PER123RHV,CCKCNXDBR,J1,1,J,,,,,18.86743274230098,21.542896953306148,neg,neg,-0.06176640772960546,-0.04785693900774473,2.138989039447985,-0.0012353281545921092,-0.0009571387801548946,-0.013567570381686983,0.40661693114735753,0.2856594966273449,0.46413723628077025
PER123RHV,CDLWPFYDP,K1,1,K,,,,,17.920971276417966,20.498847255584366,neg,neg,-0.08211134051913258,-0.09287338732210043,2.2080637603828808,-0.0016422268103826515,-0.0018574677464420087,-0.014050096614773425,0.1164461771519366,0.3033682547052109,0.4634951735522626
PER123RHV,CBFGFKXVZ,L1,1,L,,,,,21.18221973293,23.982775559048576,neg,neg,-0.07800410357258639,-0.07176162966578988,1.9146712732618,-0.001560082071451728,-0.0014352325933157976,-0.013413116515608626,0.46919160528050846,0.3512322634041901,0.46274518018185096
PER123RHV,CBJCKDHXW,M1,1,M,,,,,19.59820937971998,22.744858134477518,neg,neg,-0.057430821731633344,-0.06025243660139956,1.9539400556037156,-0.001148616434632667,-0.0012050487320279914,-0.01632910977376439,0.5132197634677327,0.6383556839108758,0.4345510303040483
PER123RHV,CCRLGGRXT,N1,1,N,,,,,19.13424136469325,21.72659613020977,neg,neg,-0.04363554167847837,-0.0557168971141311,2.1463239439853528,-0.0008727108335695674,-0.0011143379422826221,-0.010322505778162036,0.6020365401908648,0.48883565898832776,0.4785207832653831
PER123RHV,CCTHDFJGC,O1,1,O,,,,,22.905000827936654,25.095723952973906,neg,neg,-0.1279283721615462,-0.08472945924431977,2.248925227545177,-0.0025585674432309245,-0.0016945891848863953,-0.00715265965383131,0.294333655918121,0.1,0.4824551339181244
PER123RHV,CCYZVSYZK,P1,1,P,,,,,21.32177203295568,24.133957826449112,neg,neg,0.0,0.0,1.8432225808819143,-0.0009926327432980442,-0.001059590590417335,-0.013308148830322181,0.9435995341063613,1.0681273758805572,0.465964627839581
PER123RHV,CBHNCBNSY,A4,4,A,,,,,19.47543297579971,22.114721408714125,neg,neg,-0.07601652057904197,-0.05640476443337165,2.1450754091504614,-0.0015203304115808394,-0.001128095288667433,-0.011557008448450519,0.2583630377779213,0.3976576118416504,0.4698866306484745
PER123RHV,CCXDCVSHD,B4,4,B,,,,,19.3156775298203,21.855882273556745,neg,neg,-0.08443308176050743,-0.09462061222223711,2.249458444233001,-0.0016886616352101487,-0.0018924122444447422,-0.010790985751482293,0.42531547781374346,0.4204333834919701,0.46417525751882127
PER123RHV,CCWNPWRRD,C4,4,C,,,,,19.405206235864963,22.231937064650147,neg,neg,-0.09608882458575185,-0.06811953988622782,2.036296685420773,-0.0019217764917150372,-0.0013623907977245563,-0.013820523242554717,0.37400725733379053,0.38244744151047677,0.45409182508999685
PER123RHV,CBRVMCPDR,D4,4,D,,,,,18.62619791133443,21.170885015345924,neg,neg,-0.06684289368880143,-0.06279269355301631,2.2774685999345867,-0.0013368578737760286,-0.0012558538710603262,-0.0118270227193365,0.32550346030694993,0.6461799934895862,0.4681513612085206
PER123RHV,CFHYRRHTW,E4,4,E,,,,,20.86173682776886,23.88072661507161,neg,neg,-0.09080426228882613,-0.07867179847449045,1.8439068036654733,-0.0018160852457765227,-0.0015734359694898092,-0.01470127954171157,0.27594989932791353,0.3457407941369145,0.4416519847323516
PER123RHV,CFBWXFDTN,F4,4,F,,,,,20.262930501076056,23.024843041225893,neg,neg,-0.06822056401746329,-0.06641819712874944,2.0211366279100726,-0.0013644112803492658,-0.0013283639425749887,-0.01269918205088065,0.27744008783488217,0.3809419096063009,0.45597298095765715
PER123RHV,CFCPRWGMH,G4,4,G,,,,,20.112519730149053,22.58881596990777,neg,neg,-0.11350647223103952,-0.11869444420981465,2.2201201275605547,-0.0022701294446207903,-0.0023738888841962932,-0.010749632930624309,0.31261632831337816,0.2692554550855532,0.45771040167279503
PER123RHV,CCKKCWDWZ,H4,4,H,,,,,19.259775681345587,21.97410292265458,neg,neg,-0.042569373231050096,-0.07177924699580061,2.100032712486756,-0.0008513874646210019,-0.0014355849399160124,-0.013187668365265049,0.1,0.42496672049981593,0.46021354509062096
PER123RHV,CBWKSSFRL,I4,4,I,,,,,18.878017020092127,21.59791785899823,neg,neg,-0.06892311436330628,-0.09896394101986146,2.14926546526216,-0.0013784622872661258,-0.0019792788203972294,-0.012749232372340678,0.49205735782825444,0.39657734523872884,0.45386301805605206
PER123RHV,CCTTLMXLD,J4,4,J,,,,,18.71463285543101,21.41398969441729,neg,neg,-0.06307676396588559,-0.07857237139172439,2.161403646510228,-0.0012615352793177118,-0.0015714474278344878,-0.013715775741957635,0.7664247671623347,0.5818435885208112,0.462607654108156
PER123RHV,CCVVZYKTJ,K4,4,K,,,,,18.4313915721105,21.39236455914824,neg,neg,-0.06527025626691,-0.07190887047071792,2.0497840825731557,-0.0013054051253382003,-0.0014381774094143584,-0.016235122493342025,0.7079781198402751,0.410627214597603,0.43569776452801734
